task,model,metric,estimate,ci_low,ci_high
wedge_19_vs_20_reranker,extra_trees,average_precision,0.9307608622211893,0.9133317968591691,0.9485420389165196
wedge_19_vs_20_reranker,extra_trees,brier_score,0.10778384041723914,0.09985528028092458,0.11553179739634864
wedge_19_vs_20_reranker,extra_trees,log_loss,0.36961058128669044,0.3473472505142962,0.39153263051570175
wedge_19_vs_20_reranker,extra_trees,ece_10bin,0.11649233354825823,0.1075513747017226,0.13329664715771208
wedge_19_vs_20_reranker,random_forest,accuracy,0.8958020989505248,0.8830584707646177,0.9077961019490255
wedge_19_vs_20_reranker,random_forest,balanced_accuracy,0.7259392671160666,0.6935601099006421,0.7591262060317562
wedge_19_vs_20_reranker,random_forest,macro_f1,0.7719986179200681,0.7380873517080471,0.8046316187967016
wedge_19_vs_20_reranker,random_forest,roc_auc,0.8259560397431391,0.7911746030478259,0.8581619796492124
wedge_19_vs_20_reranker,random_forest,average_precision,0.9392534627440701,0.921864936167976,0.9564387188915338
wedge_19_vs_20_reranker,random_forest,brier_score,0.0917685061776941,0.08470253719838286,0.09920413886959542
wedge_19_vs_20_reranker,random_forest,log_loss,0.3247336823314516,0.30136052434921756,0.3498530689637873
wedge_19_vs_20_reranker,random_forest,ece_10bin,0.05809658367544432,0.04604991710378042,0.07388915281847604
wedge_19_vs_20_reranker,svc_rbf,accuracy,0.828335832083958,0.808095952023988,0.8478260869565217
wedge_19_vs_20_reranker,svc_rbf,balanced_accuracy,0.7381593239832593,0.7061842073735662,0.7721620315644868
wedge_19_vs_20_reranker,svc_rbf,macro_f1,0.7186190609091001,0.6880401787882772,0.74655422548886
wedge_19_vs_20_reranker,svc_rbf,roc_auc,0.7712333471774064,0.7320538880546946,0.8109066004281014
wedge_19_vs_20_reranker,svc_rbf,average_precision,0.9139671045855879,0.8961712109525449,0.9321090368317784
wedge_19_vs_20_reranker,svc_rbf,brier_score,0.12709921102765337,0.11453939465851526,0.14052793924160012
wedge_19_vs_20_reranker,svc_rbf,log_loss,0.6230006419817947,0.5315165075501146,0.7244715252136563
wedge_19_vs_20_reranker,svc_rbf,ece_10bin,0.12938321976904815,0.11111615438342749,0.1463393549714034
wedge_19_vs_20_reranker,mlp_deep,accuracy,0.868815592203898,0.8530547226386807,0.883808095952024
wedge_19_vs_20_reranker,mlp_deep,balanced_accuracy,0.7220216606498195,0.6886847664611354,0.7534598535190569
wedge_19_vs_20_reranker,mlp_deep,macro_f1,0.7431982461138729,0.7115470007672019,0.7746371884044038
wedge_19_vs_20_reranker,mlp_deep,roc_auc,0.7658421456183507,0.7263791492284593,0.8036991629660394
wedge_19_vs_20_reranker,mlp_deep,average_precision,0.9189198863880883,0.9020657950638169,0.9361054918970335
wedge_19_vs_20_reranker,mlp_deep,brier_score,0.10855936540024533,0.09900121985894558,0.11826315845203586
wedge_19_vs_20_reranker,mlp_deep,log_loss,0.43762469863951237,0.38815882759715276,0.4877760477245604
wedge_19_vs_20_reranker,mlp_deep,ece_10bin,0.09270339927299644,0.07754283528265744,0.110444910248549
wedge_19_vs_20_reranker,torch_deep,accuracy,0.8223388305847077,0.802848575712144,0.8425787106446777
wedge_19_vs_20_reranker,torch_deep,balanced_accuracy,0.7574438516341331,0.7234389476374558,0.7895126154116482
wedge_19_vs_20_reranker,torch_deep,macro_f1,0.7229491173416407,0.6942495434542539,0.7523918075044116
wedge_19_vs_20_reranker,torch_deep,roc_auc,0.8090176831411137,0.7702954278617297,0.8457587217660778
wedge_19_vs_20_reranker,torch_deep,average_precision,0.935568656562545,0.9188143409285016,0.9520500282756428
wedge_19_vs_20_reranker,torch_deep,brier_score,0.1458966554122914,0.12968454619950706,0.1633218739599074
wedge_19_vs_20_reranker,torch_deep,log_loss,0.6312590999391232,0.5545444761814772,0.7132154228280276
wedge_19_vs_20_reranker,torch_deep,ece_10bin,0.149218622277471,0.13079458986587003,0.16952543983878612
